=======================================================================================
#    | id       | Name                 | Type            | Display         | Abbrev    
=======================================================================================
57   | 149345   | t_sign2              | FT_NONE          |BASE_NONE       | dl.DBGLOG_TEST.struct_A.t_sign2
58   | 149346   | ptr_void             | FT_UINT32        |BASE_HEX        | dl.DBGLOG_TEST.struct_A.t_sign2.ptr_void
59   | 149347   | int_a                | FT_INT32         |BASE_DEC        | dl.DBGLOG_TEST.struct_A.t_sign2.int_a
60   | 149348   | uc_ver_maj           | FT_UINT8         |BASE_DEC_HEX    | dl.DBGLOG_TEST.struct_A.t_sign2.uc_ver_maj
61   | 149349   | uc_ver_min           | FT_UINT8         |BASE_DEC_HEX    | dl.DBGLOG_TEST.struct_A.t_sign2.uc_ver_min
62   | 149350   | ca_sign              | FT_STRINGZ       |BASE_NONE       | dl.DBGLOG_TEST.struct_A.t_sign2.ca_sign
63   | 149351   | pf_led_func          | FT_UINT32        |BASE_HEX        | dl.DBGLOG_TEST.struct_A.pf_led_func
64   | 149352   | reserved             | FT_NONE          |BASE_NONE       | dl.DBGLOG_TEST.struct_A.reserved
65   | 149353   | uint8_t              | FT_UINT8         |BASE_DEC_HEX    | dl.DBGLOG_TEST.struct_A.reserved.uint8_t
66   | 149354   | named_struct_B       | FT_NONE          |BASE_NONE       | dl.DBGLOG_TEST.named_struct_B
67   | 149355   | unknown              | FT_NONE          |BASE_NONE       | dl.DBGLOG_TEST.named_struct_B.unknown
68   | 149356   | union_A1             | FT_UINT8         |BASE_DEC_HEX    | dl.DBGLOG_TEST.named_struct_B.unknown.union_A1
69   | 149357   | union_A2             | FT_UINT16        |BASE_DEC_HEX    | dl.DBGLOG_TEST.named_struct_B.unknown.union_A2
70   | 149358   | named_union_B        | FT_NONE          |BASE_NONE       | dl.DBGLOG_TEST.named_struct_B.named_union_B
71   | 149359   | union_B1             | FT_UINT8         |BASE_DEC_HEX    | dl.DBGLOG_TEST.named_struct_B.named_union_B.union_B1
72   | 149360   | union_B2             | FT_UINT16        |BASE_DEC_HEX    | dl.DBGLOG_TEST.named_struct_B.named_union_B.union_B2
73   | 149361   | enum_B               | FT_UINT32        |BASE_DEC_HEX    | dl.DBGLOG_TEST.named_struct_B.enum_B
74   | 149362   | str_str_A            | FT_NONE          |BASE_NONE       | dl.DBGLOG_TEST.named_struct_B.str_str_A
75   | 149363   | int16_A              | FT_UINT16        |BASE_DEC_HEX    | dl.DBGLOG_TEST.named_struct_B.str_str_A.int16_A
76   | 149364   | int8_A               | FT_UINT8         |BASE_DEC_HEX    | dl.DBGLOG_TEST.named_struct_B.str_str_A.int8_A
77   | 149365   | field_A              | FT_UINT8         |BASE_DEC_HEX    | dl.DBGLOG_TEST.named_struct_B.field_A
78   | 149366   | field_B              | FT_UINT8         |BASE_DEC_HEX    | dl.DBGLOG_TEST.named_struct_B.field_B
79   | 149367   | array_A              | FT_STRINGZ       |BASE_NONE       | dl.DBGLOG_TEST.named_struct_B.array_A
80   | 149368   | array_AA             | FT_STRINGZ       |BASE_NONE       | dl.DBGLOG_TEST.named_struct_B.array_AA
81   | 149369   | unnamed_struct_C     | FT_NONE          |BASE_NONE       | dl.DBGLOG_TEST.unnamed_struct_C
82   | 149370   | field_A              | FT_UINT8         |BASE_DEC_HEX    | dl.DBGLOG_TEST.unnamed_struct_C.field_A
83   | 149371   | field_B              | FT_UINT8         |BASE_DEC_HEX    | dl.DBGLOG_TEST.unnamed_struct_C.field_B
84   | 149372   | pf_func_A            | FT_UINT32        |BASE_HEX        | dl.DBGLOG_TEST.pf_func_A
85   | 149373   | pf_func_B            | FT_UINT32        |BASE_HEX        | dl.DBGLOG_TEST.pf_func_B
86   | 149374   | struct_array_BB      | FT_NONE          |BASE_NONE       | dl.DBGLOG_TEST.struct_array_BB
87   | 149375   | dummy_struct         | FT_NONE          |BASE_NONE       | dl.DBGLOG_TEST.struct_array_BB.dummy_struct
88   | 149376   | int16_A              | FT_UINT16        |BASE_DEC_HEX    | dl.DBGLOG_TEST.struct_array_BB.dummy_struct.int16_A
89   | 149377   | int8_A               | FT_UINT8         |BASE_DEC_HEX    | dl.DBGLOG_TEST.struct_array_BB.dummy_struct.int8_A
90   | 149378   | enum_A               | FT_UINT32        |BASE_DEC_HEX    | dl.DBGLOG_TEST.enum_A
